redis_1          | 1:M 17 Oct 2025 08:58:18.019 * 1 changes in 3600 seconds. Saving...
redis_1          | 1:M 17 Oct 2025 08:58:18.020 * Background saving started by pid 101
redis_1          | 101:C 17 Oct 2025 08:58:18.024 * DB saved on disk
redis_1          | 101:C 17 Oct 2025 08:58:18.025 * Fork CoW for RDB: current 0 MB, peak 0 MB, average 0 MB
redis_1          | 1:M 17 Oct 2025 08:58:18.121 * Background saving terminated with success
redis_1          | 1:M 17 Oct 2025 09:58:19.030 * 1 changes in 3600 seconds. Saving...
redis_1          | 1:M 17 Oct 2025 09:58:19.031 * Background saving started by pid 102
redis_1          | 102:C 17 Oct 2025 09:58:19.035 * DB saved on disk
redis_1          | 102:C 17 Oct 2025 09:58:19.036 * Fork CoW for RDB: current 0 MB, peak 0 MB, average 0 MB
redis_1          | 1:M 17 Oct 2025 09:58:19.132 * Background saving terminated with success
redis_1          | 1:M 17 Oct 2025 10:58:20.082 * 1 changes in 3600 seconds. Saving...
redis_1          | 1:M 17 Oct 2025 10:58:20.084 * Background saving started by pid 103
redis_1          | 103:C 17 Oct 2025 10:58:20.089 * DB saved on disk
redis_1          | 103:C 17 Oct 2025 10:58:20.090 * Fork CoW for RDB: current 0 MB, peak 0 MB, average 0 MB
redis_1          | 1:M 17 Oct 2025 10:58:20.185 * Background saving terminated with success
redis_1          | 1:M 17 Oct 2025 11:58:21.019 * 1 changes in 3600 seconds. Saving...
redis_1          | 1:M 17 Oct 2025 11:58:21.020 * Background saving started by pid 104
redis_1          | 104:C 17 Oct 2025 11:58:21.025 * DB saved on disk
redis_1          | 104:C 17 Oct 2025 11:58:21.025 * Fork CoW for RDB: current 0 MB, peak 0 MB, average 0 MB
redis_1          | 1:M 17 Oct 2025 11:58:21.121 * Background saving terminated with success
redis_1          | 1:M 17 Oct 2025 12:58:22.017 * 1 changes in 3600 seconds. Saving...
redis_1          | 1:M 17 Oct 2025 12:58:22.018 * Background saving started by pid 105
redis_1          | 105:C 17 Oct 2025 12:58:22.040 * DB saved on disk
redis_1          | 105:C 17 Oct 2025 12:58:22.040 * Fork CoW for RDB: current 0 MB, peak 0 MB, average 0 MB
redis_1          | 1:M 17 Oct 2025 12:58:22.119 * Background saving terminated with success
redis_1          | 1:M 17 Oct 2025 13:25:54.452 # Possible SECURITY ATTACK detected. It looks like somebody is sending POST or Host: commands to Redis. This is likely due to an attacker attempting to use Cross Protocol Scripting to compromise your Redis instance. Connection from 3.131.215.38:52350 aborted.
redis_1          | 1:M 17 Oct 2025 13:27:57.631 # Possible SECURITY ATTACK detected. It looks like somebody is sending POST or Host: commands to Redis. This is likely due to an attacker attempting to use Cross Protocol Scripting to compromise your Redis instance. Connection from 3.131.215.38:44898 aborted.
redis_1          | 1:M 17 Oct 2025 13:58:23.099 * 1 changes in 3600 seconds. Saving...
redis_1          | 1:M 17 Oct 2025 13:58:23.100 * Background saving started by pid 106
redis_1          | 106:C 17 Oct 2025 13:58:23.106 * DB saved on disk
redis_1          | 106:C 17 Oct 2025 13:58:23.107 * Fork CoW for RDB: current 0 MB, peak 0 MB, average 0 MB
redis_1          | 1:M 17 Oct 2025 13:58:23.201 * Background saving terminated with success
redis_1          | 1:M 17 Oct 2025 14:58:24.008 * 1 changes in 3600 seconds. Saving...
redis_1          | 1:M 17 Oct 2025 14:58:24.010 * Background saving started by pid 107
redis_1          | 107:C 17 Oct 2025 14:58:24.015 * DB saved on disk
redis_1          | 107:C 17 Oct 2025 14:58:24.016 * Fork CoW for RDB: current 0 MB, peak 0 MB, average 0 MB
redis_1          | 1:M 17 Oct 2025 14:58:24.111 * Background saving terminated with success
redis_1          | 1:M 17 Oct 2025 15:58:25.044 * 1 changes in 3600 seconds. Saving...
redis_1          | 1:M 17 Oct 2025 15:58:25.046 * Background saving started by pid 108
redis_1          | 108:C 17 Oct 2025 15:58:25.050 * DB saved on disk
redis_1          | 108:C 17 Oct 2025 15:58:25.051 * Fork CoW for RDB: current 0 MB, peak 0 MB, average 0 MB
redis_1          | 1:M 17 Oct 2025 15:58:25.147 * Background saving terminated with success
redis_1          | 1:M 17 Oct 2025 16:58:26.055 * 1 changes in 3600 seconds. Saving...
redis_1          | 1:M 17 Oct 2025 16:58:26.056 * Background saving started by pid 109
